age,Auditory,Kinaesthetic,Visual,ExtrinsicMotivation,IntrinsicMotivation,SelfEfficacy,StudyTime,Conscientiousness,CAOpoints,Maths,English,Pass
19,5,6.698391741,3.301608259,9.308199312,6.875,7.321864831,7.790996559,8.721328745,352,19,45,Pass
31,6.285537831,2.5,6.214462169,7.535537831,6.303306747,7.095179277,6.892768916,6.440564418,187,35,28,Pass
36,6.776966181,2.5,5.723033819,8.026966181,7.040449272,7.258988727,7.138483091,6.194850243,111,21,17,Pass
22,6.75613156,3.98773688,4.25613156,6.62193422,5.94516445,5.089464893,2.5,4.042688593,327,36,46,Fail
23,7.228655183,2.228655183,5.542689634,6.453508613,6.942836204,6.285574695,3.314034451,4.528459756,274,33,35,Fail
19,4.587299791,0.412700209,10,7.815474843,7.809525157,9.724866527,9.277774634,7.5,279,15,45,Fail
19,3.516451691,4.532903383,6.950644926,6.758225846,7.087983694,5.311397745,3.983548309,5.48080636,347,36,68,Fail
19,5,5.15466903,4.84533097,7.5,4.629499114,4.505998818,4.84533097,4.727221238,388,36,69,Fail
23,4.185139591,2.444581227,8.370279182,8.736145307,7.472290614,6.629720818,7.051005716,6.095717008,378,39,78,Fail
24,3.63635113,6.36364887,5,9.857956109,9.431824435,9.810608145,10,7.87878371,214,35,49,Fail
28,5.470317437,0.470317437,9.059365126,8.360158718,6.485158718,5.783862395,6.448055514,6.122142822,347,30,70,Fail
33,3.807222393,2.385555215,8.807222393,7.826805598,5.951805598,5.795185072,5.355416794,5.615462935,159,37,31,Fail
20,2.625811669,4.748376661,7.625811669,7.531452917,3.875811669,5.79139611,3.250811669,3.042478336,366,54,53,Fail
24,3.676596775,2.64680645,8.676596775,8.290425403,6.415425403,5.882268817,6.782977822,4.644681452,403,34,89,Fail
21,0.579463411,8.841073178,5.579463411,8.677567074,6.802567074,7.947024393,9.492969515,2.838020323,344,28,96,Fail
29,3.36916407,6.63083593,5,9.030763672,7.155763672,8.707684897,10,5.494812507,184,15,54,Fail
19,3.364962629,3.270074743,8.364962629,8.148721972,5.625,6.666666667,4.375,5.256691581,283,37,42,Fail
20,7.190382169,2.190382169,5.619235662,8.672595542,6.25,7.190382169,7.267786627,4.321475582,370,12,66,Fail
33,4.862510962,4.258326025,5.879163013,8.71562774,6.620836987,8.287503654,9.120836987,8.873612329,97,3,14,Fail
23,5,1.524000515,8.475999485,7.553499807,6.821500193,5.254000086,4.672499678,6.305666967,403,34,77,Fail
25,5.560803174,1.121606348,8.317590478,8.125,6.670602381,5.560803174,6.606405555,5.884002645,371,45,72,Fail
20,3.493837699,5,6.506162301,7.624229712,6.12191885,6.832306283,5.493067411,6.164612566,244,36,37,Fail
33,2.5,5,7.5,8.374854055,7.99970811,4.166666667,4.999756758,5.833333333,0,0,0,Pass
19,5,0,10,9.375,7.5,8.333333333,3.125,6.25,413,45,29,Pass
29,2.5,5,7.5,8.75,9.375,7.5,10,9.166666667,175,64,17,Pass
31,2.5,5,7.5,6.875,5,4.166666667,2.5,5.833333333,0,0,0,Pass
32,3.67189878,1.32810122,10,8.378924085,6.503924085,7.890632927,4.785126525,7.57810122,194,21,13,Pass
26,4.976393009,0.047213982,9.976393009,5.017705243,6.238196504,6.643059676,9.929179027,5.420601165,251,36,34,Pass
30,3.065877489,4.434122511,7.5,8.679265314,9.233530628,7.5,9.787795942,8.978040837,183,66,16,Pass
21,3.658052188,2.683895624,8.658052188,9.375,8.841947812,8.780649271,4.802434765,6.25,331,31,29,Pass
28,2.5,4.355228453,8.144771547,7.197385773,5.161192887,5.026362063,4.434314641,6.263181031,80,14,12,Pass
31,2.5,4.842330179,7.657669821,7.072087276,5.157669821,4.324336488,2.973009463,5.728220119,22,4,1,Pass
32,2.5,4.406918564,8.093081436,7.616351795,5.593081436,4.759748103,4.279244309,5.437945709,83,15,3,Pass
32,2.5,5,7.5,7.283878319,5.654205311,4.929906196,3.154205311,6.160435989,18,6,1,Pass
26,2.5,5,7.5,7.121986561,6.97589249,6.471874572,4.47589249,6.821279578,180,22,25,Pass
20,5,1.709904933,8.290095067,7.334904933,6.842571301,6.360063378,7.334904933,5.833333333,388,50,58,Pass
44,2.5,4.909058548,7.590941452,8.147735363,7.590941452,6.787921936,3.306882904,8.393960968,0,0,0,Pass
20,4.870208676,2.629791324,7.5,8.060104338,6.314895662,5.919860883,8.222343493,5.919860883,496,72,73,Pass
22,4.057583171,2.827250487,8.115166342,6.803021036,8.125,7.814138943,4.682583171,5.51919439,351,63,36,Pass
21,3.49979896,2.25030156,9.24989948,6.37510052,7.74994974,7.5,5.625,5.958350087,237,18,37,Pass
43,2.5,2.5,10,8.852873057,9.177015541,9.314179618,7.610634713,9.382761656,76,7,12,Pass
22,4.908805009,0.182389981,9.908805009,5.738993738,8.056603757,7.5,5.693396243,5.802935003,157,4,24,Pass
21,4.253461469,0.746538531,10,5.811634633,7.751730734,7.997692354,4.878461469,5.708910245,254,12,38,Pass
19,2.439668261,5.060331739,7.5,6.204751195,6.25,6.706887826,8.125,7.023001594,317,2,41,Fail
19,2.89824116,4.80087942,7.30087942,8.65043971,7.975659565,5.966080387,5.575219855,5.766959807,466,36,83,Fail
31,0.191488104,7.117023792,7.691488104,8.702127974,8.029255948,6.794325403,6.154255948,5,27,5,3,Pass
18,2.5,2.5,10,6.807979384,7.923938152,7.410639179,7.655855687,6.309223381,378,39,39,Fail
18,2.5,5,7.5,6.160789083,5.625,5.059473945,7.366183624,5.386929694,278,9,35,Fail
26,2.5,7.152137196,5.347862804,9.652137196,8.679274393,8.956411589,10,8.170228661,63,4,9,Fail
26,2.5,7.162849837,5.337150163,9.578562296,8.616412133,9.325699673,9.325699673,8.188083061,49,2,3,Fail
18,1.6431587,5,8.3568413,6.67842065,6.267630975,5.571227533,7.5,5.9878942,318,28,44,Fail
19,2.5,2.5,10,7.676011768,7.390809415,6.286396862,3.179595293,3.333333333,325,59,29,Fail
26,2.275873052,7.5,5.224126948,9.551746105,9.094841316,9.70116407,9.551746105,8.264391614,22,3,3,Fail
27,2.5,7.339391496,5.160608504,9.959847874,9.214391496,9.73231916,9.839391496,8.642927664,12,2,1,Fail
25,2.5,6.997663348,5.502336652,10,8.998247511,9.497663348,8.618574207,7.829049471,41,4,11,Fail
20,2.5,2.5,10,7.359637034,6.989758023,7.159838682,5.599395057,4.442970368,354,64,26,Fail
20,2.5,3.586645567,8.913354433,7.336645567,5.978338608,6.304451478,3.75,4.4199789,422,52,27,Fail
27,2.5,7.48332441,5.01667559,9.962479922,9.345817717,9.97776588,9.987493307,8.73332441,2,0,0,Fail
20,2.5,5.199798978,7.300201022,7.737575383,7.400100511,7.883366837,8.650100511,6.566767178,553,69,72,Pass
20,4.796282252,2.703717748,7.5,7.550929437,7.5,7.5,7.921282252,7.049380375,540,72,69,Pass
24,4.270882589,5.729117411,5,6.432279353,6.692720647,6.909705804,7.057279353,6.154534412,505,56,66,Pass
22,5,1.441010562,8.558989438,7.76474736,6.970505281,7.147003521,6.536515842,6.377340374,313,42,40,Pass
23,5,2.5,7.5,6.954374419,5.863123258,6.408748839,8.125,7.083333333,411,69,51,Pass
20,5.661292177,3.161292177,6.177415645,7.5,5.790323044,5.268820296,5,5.919353911,523,67,70,Pass
20,1.851622061,7.5,5.648377939,7.361283454,6.412094485,7.5,8.148377939,6.173107595,559,70,65,Pass
20,4.303110629,3.196889371,7.5,7.325777657,7.325777657,6.803110629,6.905443601,6.851036876,497,75,65,Pass
20,2.955680735,7.5,4.544319265,6.988920184,6.193039908,7.5,7.329119724,5.644507034,580,83,75,Pass
